2026-03-18 23:18:50,300 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2026-03-18 23:20:32,939 | INFO | ai.vector_store | Đã tạo index: IVF, metric: cosine
2026-03-18 23:20:32,940 | WARNING | ai.vector_store | Dữ liệu (22) nhỏ hơn nlist (100), chuyển IVF -> FLAT để index ổn định
2026-03-18 23:20:32,940 | INFO | ai.vector_store | Đã thêm 22 vectors
2026-03-18 23:20:32,941 | INFO | ai.vector_store | Saved to data/vector_store\products
2026-03-18 23:20:32,941 | INFO | ai.vector_store | Đã tạo index: IVF, metric: cosine
2026-03-18 23:20:32,942 | WARNING | ai.vector_store | Dữ liệu (10) nhỏ hơn nlist (100), chuyển IVF -> FLAT để index ổn định
2026-03-18 23:20:32,942 | INFO | ai.vector_store | Đã thêm 10 vectors
2026-03-18 23:20:32,943 | INFO | ai.vector_store | Saved to data/vector_store\brands
2026-03-18 23:20:32,944 | INFO | ai.vector_store | Đã tạo index: IVF, metric: cosine
2026-03-18 23:20:32,944 | WARNING | ai.vector_store | Dữ liệu (4) nhỏ hơn nlist (100), chuyển IVF -> FLAT để index ổn định
2026-03-18 23:20:32,944 | INFO | ai.vector_store | Đã thêm 4 vectors
2026-03-18 23:20:32,946 | INFO | ai.vector_store | Saved to data/vector_store\content
2026-03-18 23:20:42,427 | INFO | store.chatbot.api | chatbot_api request_id=01a1716400be action=reset user_id=36 session=r1qk4itekfiktwvfr25xwov0qjsea1bc message_len=0
2026-03-18 23:20:42,432 | INFO | store.chatbot.api | chatbot_api reset request_id=01a1716400be ok=True latency_ms=8
2026-03-18 23:20:42,439 | INFO | django.server | "POST /api/chatbot/ HTTP/1.1" 200 42
2026-03-18 23:20:43,789 | INFO | django.server | "GET /order-tracking/ HTTP/1.1" 200 60640
2026-03-18 23:20:43,821 | INFO | django.server | "GET /static/css/order_tracking.css HTTP/1.1" 304 0
2026-03-18 23:20:43,831 | WARNING | django.request | Not Found: /.well-known/appspecific/com.chrome.devtools.json
2026-03-18 23:20:43,833 | INFO | django.server | "GET /static/js/order_tracking.js HTTP/1.1" 304 0
2026-03-18 23:20:43,833 | WARNING | django.server | "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 24751
2026-03-18 23:20:43,909 | INFO | django.server | "GET /static/js/chatbot.js HTTP/1.1" 200 12138
2026-03-18 23:20:43,918 | INFO | django.server | "GET /banner-images/list/ HTTP/1.1" 200 1667
2026-03-18 23:20:49,095 | INFO | django.server | "GET / HTTP/1.1" 200 192289
2026-03-18 23:20:49,138 | WARNING | django.request | Not Found: /.well-known/appspecific/com.chrome.devtools.json
2026-03-18 23:20:49,138 | WARNING | django.server | "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 24751
2026-03-18 23:20:49,234 | INFO | django.server | "GET /banner-images/list/ HTTP/1.1" 200 1667
2026-03-18 23:20:49,363 | INFO | django.server | "GET /banner-images/list/ HTTP/1.1" 200 1667
2026-03-18 23:20:57,383 | INFO | store.chatbot.api | chatbot_api request_id=qh_1773850857379_ss9rzp action=message user_id=36 session=r1qk4itekfiktwvfr25xwov0qjsea1bc message_len=15
2026-03-18 23:20:57,389 | INFO | store.chatbot.api | chatbot_api response request_id=qh_1773850857379_ss9rzp intent=unknown source=rule engine=django_local latency_ms=8
2026-03-18 23:20:57,391 | INFO | django.server | "POST /api/chatbot/ HTTP/1.1" 200 435
2026-03-18 23:21:00,361 | INFO | store.chatbot.api | chatbot_api request_id=qh_1773850860355_n7zitk action=message user_id=36 session=r1qk4itekfiktwvfr25xwov0qjsea1bc message_len=14
2026-03-18 23:21:00,369 | INFO | store.chatbot.api | chatbot_api response request_id=qh_1773850860355_n7zitk intent=unknown source=rule engine=django_local latency_ms=12
2026-03-18 23:21:00,377 | INFO | django.server | "POST /api/chatbot/ HTTP/1.1" 200 706
2026-03-18 23:21:08,714 | INFO | django.server | - Broken pipe from ('127.0.0.1', 59816)
2026-03-18 23:21:28,716 | INFO | store.chatbot.api | chatbot_api request_id=qh_1773850888711_9otclf action=message user_id=36 session=r1qk4itekfiktwvfr25xwov0qjsea1bc message_len=63
2026-03-18 23:21:32,313 | INFO | store.chatbot.api | chatbot_api response request_id=qh_1773850888711_9otclf intent=unknown source=local engine=django_local latency_ms=3600
2026-03-18 23:21:32,323 | INFO | django.server | "POST /api/chatbot/ HTTP/1.1" 200 1766
2026-03-18 23:21:44,742 | INFO | django.server | "GET /static/videos/ooppv1.mp4 HTTP/1.1" 200 26090340
2026-03-18 23:22:29,439 | ERROR | django.security.DisallowedHost | Invalid HTTP_HOST header: 'testserver'. You may need to add 'testserver' to ALLOWED_HOSTS.
Traceback (most recent call last):
  File "D:\Py\qhun22\.venv\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "D:\Py\qhun22\.venv\lib\site-packages\django\utils\deprecation.py", line 133, in __call__
    response = self.process_request(request)
  File "D:\Py\qhun22\.venv\lib\site-packages\django\middleware\common.py", line 48, in process_request
    host = request.get_host()
  File "D:\Py\qhun22\.venv\lib\site-packages\django\http\request.py", line 150, in get_host
    raise DisallowedHost(msg)
django.core.exceptions.DisallowedHost: Invalid HTTP_HOST header: 'testserver'. You may need to add 'testserver' to ALLOWED_HOSTS.
2026-03-18 23:22:44,504 | INFO | store.chatbot.api | chatbot_api request_id=test123 action=message user_id=None session=None message_len=26
2026-03-18 23:22:44,515 | INFO | store.chatbot.api | chatbot_api response request_id=test123 intent=unknown source=rule engine=django_local latency_ms=10
2026-03-18 23:24:39,139 | WARNING | store.chatbot.api | chatbot_api invalid_json request_id=768d6cd8841f
2026-03-18 23:24:39,140 | WARNING | django.request | Bad Request: /api/chatbot/
2026-03-18 23:24:39,141 | INFO | store.chatbot.api | chatbot_api request_id=long501 action=message user_id=None session=None message_len=501
2026-03-18 23:24:39,142 | WARNING | django.request | Bad Request: /api/chatbot/
2026-03-18 23:24:39,142 | INFO | store.chatbot.api | chatbot_api request_id=reset-case action=reset user_id=None session=None message_len=0
2026-03-18 23:24:39,149 | INFO | store.chatbot.api | chatbot_api reset request_id=reset-case ok=True latency_ms=6
2026-03-18 23:25:57,877 | INFO | django.utils.autoreload | D:\Py\qhun22\store\chatbot_service.py changed, reloading.
2026-03-18 23:25:58,399 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2026-03-18 23:27:17,115 | INFO | django.server | "GET / HTTP/1.1" 200 192289
2026-03-18 23:27:17,173 | WARNING | django.request | Not Found: /.well-known/appspecific/com.chrome.devtools.json
2026-03-18 23:27:17,174 | WARNING | django.server | "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 24751
2026-03-18 23:27:17,363 | INFO | django.server | "GET /static/css/base.css HTTP/1.1" 200 7368
2026-03-18 23:27:17,366 | INFO | django.server | "GET /static/js/toast.js HTTP/1.1" 200 2763
2026-03-18 23:27:17,368 | INFO | django.server | "GET /static/js/confirm.js HTTP/1.1" 200 2110
2026-03-18 23:27:17,369 | INFO | django.server | "GET /static/css/style.css HTTP/1.1" 200 40445
2026-03-18 23:27:17,372 | INFO | django.server | "GET /static/js/banner.js HTTP/1.1" 200 9075
2026-03-18 23:27:17,375 | INFO | django.server | "GET /static/icons/logo_iphone_ngang_eac93ff477.webp HTTP/1.1" 200 4928
2026-03-18 23:27:17,377 | INFO | django.server | "GET /static/css/banner.css HTTP/1.1" 200 6513
2026-03-18 23:27:17,381 | INFO | django.server | "GET /static/icons/logo_benco_ngang_d31d9c3b77.webp HTTP/1.1" 200 7116
